name,actors,director,creator,producer,year_released,poster_path,rating,vote_count,overview,genre,keywords
Tagesschau,[],[],[],[],1952,https://image.tmdb.org/t/p/w500/7dFZJ2ZJJdcmkp05B9NWlqTJ5tq.jpg,7.094,171,"German daily news program, the oldest still existing program on German television.",News,"German, daily, news, program, oldest, existing, program, German, television"
Elas por Elas,[],[],"['Alessandro Marson', 'Thereza Falcão']",[],2023,https://image.tmdb.org/t/p/w500/m0cvvnhnRXdQhLARx7qt9lz7hTE.jpg,6.533,15,"Seven friends who met in their youth at an English course meet again 25 years later; Lara, Taís, Helena, Adriana, Renée, Natália and Carol, each of them has a different personality and origin, but they share a deep affection.","Comedy, Mystery, Soap, Drama","Seven, friends, met, youth, English, course, meet, years, later, Lara, Taís, Helena, Adriana, Renée, Natália, Carol, different, personality, origin, share, deep, affection"
Gran hermano VIP,[],[],['John de Mol'],[],2004,https://image.tmdb.org/t/p/w500/9269PATr0bmEXKjkpR88mzGmNYI.jpg,3.818,11,,Reality,
Stardance XII ...kolem dokola,[],[],[],[],2023,https://image.tmdb.org/t/p/w500/ot9MBwaVWb8vJU3mrUPXSuIcxUP.jpg,7.0,2,,,
Temptation Island India,[],[],['Jessu George'],[],2023,https://image.tmdb.org/t/p/w500/lpcg76guqxN9YuKu6795TQaYVOR.jpg,8.0,2,Relationships ka hoga ab ultimate test! Will their love survive the temptations? Watch the biggest and hottest dating reality show in India only on JioCinema!,Reality,"Relationships, ka, hoga, ab, ultimate, test, love, survive, temptations, Watch, biggest, hottest, dating, reality, India, JioCinema"
Land of Desire,[],[],['Walcyr Carrasco'],[],2023,https://image.tmdb.org/t/p/w500/33HrrOZQKRp7W3dNXPmKB0udA2m.jpg,6.5,124,"When her husband is killed in a land grabbing attempt, Aline takes charge of cultivating his land and protecting his family. Facing the powerful Antonio La Selva, responsible for the death of her husband and the largest landowner in the region, Aline is determined to keep possession of her land and invest in its production. However, she didn't expect that she would fall in love with Daniel, son of her rival, who is at odds with his rebellious half-brother, Caio, who, in turn, also falls in love with the girl. In the interior of Brazil, Aline will have to fight two battles: the dispute for her lands and for her heart.","Drama, Crime, Soap","husband, killed, land, grabbing, attempt, Aline, takes, charge, cultivating, land, protecting, family, Facing, powerful, Antonio, La, Selva, responsible, death, husband, largest, landowner, region, Aline, determined, possession, land, invest, production, expect, fall, love, Daniel, son, rival, odds, rebellious, half, brother, Caio, turn, falls, love, girl, interior, Brazil, Aline, fight, battles, dispute, lands, heart"
Mom for rent,[],[],"['Matúš Libovič', 'Miloslav Volný']",[],2023,https://image.tmdb.org/t/p/w500/fH7PP2Rkdlo414IHvZABBHhtoqd.jpg,5.667,15,"Abandoned by his wife, Martin is lying to his daughter not to be upset. But as Hanka grows, these lies become unbearable. Martin meets Nada unexpectedly, asked her to be a rent-a-mother and all lives are completely changed.","Family, Comedy","Abandoned, wife, Martin, lying, daughter, upset, Hanka, grows, lies, unbearable, Martin, meets, Nada, unexpectedly, asked, rent, mother, lives, completely, changed"
Fuzue,[],[],['Gustavo Reiz'],[],2023,https://image.tmdb.org/t/p/w500/zNNFg8z3z7uT817n6M0kHRcYwq1.jpg,5.81,21,"The department store Fuzue, specialized in popular items, is a success led by Nero Braga e Silva. Little does he know that the store's grounds have hidden relics for over 300 years.","Comedy, Soap","department, store, Fuzue, specialized, popular, items, success, led, Nero, Braga, e, Silva, Little, know, store, grounds, hidden, relics, years"
Monarch: Legacy of Monsters,[],[],"['Matt Fraction', 'Chris Black']",[],2023,https://image.tmdb.org/t/p/w500/uwrQHMnXD2DA1rvaMZk4pavZ3CY.jpg,8.429,163,"After surviving Godzilla's attack on San Francisco, Cate is shaken yet again by a shocking secret. Amid monstrous threats, she embarks on a globetrotting adventure to learn the truth about her family—and the mysterious organization known as Monarch.","Drama, Sci-Fi & Fantasy, Action & Adventure","surviving, Godzilla, attack, San, Francisco, Cate, shaken, shocking, secret, Amid, monstrous, threats, embarks, globetrotting, adventure, learn, truth, family, mysterious, organization, known, Monarch"
Al rojo vivo,[],[],['Antonio García Ferreras'],[],2011,https://image.tmdb.org/t/p/w500/ag6PmoBxkF2s1uY3An618NCEt3g.jpg,3.432,22,"""Al rojo vivo"" is a program on laSexta focused on the analysis and debate of national and international political current affairs. The format is hosted and directed by Antonio García Ferreras and produced by the News Services of laSexta.","News, Talk","Al, rojo, vivo, program, laSexta, focused, analysis, debate, national, international, political, current, affairs, format, hosted, directed, Antonio, García, Ferreras, produced, News, Services, laSexta"
